Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
160,-0.0762942,26836,107983,113511,0.3603516,-0.9272461,0.0898438,-1.3414634,-0.0609756,0.1219512,
160,-0.0667575,26880,107988,113515,0.3623047,-0.9165039,0.0893555,-0.7317073,-0.3658537,0.1829268,
160,-0.0522616,26889,108008,113542,0.3632813,-0.9165039,0.0874023,-0.2439024,-0.6097561,0.1829268,
161,-0.0377656,26892,108018,113548,0.3652344,-0.9228516,0.0888672,0.0000000,-0.7926829,0.1829268,
161,-0.0328065,26899,108041,113563,0.3671875,-0.9272461,0.0942383,0.0000000,-0.8536585,0.1829268,
161,-0.0362398,26908,108045,113584,0.3696289,-0.9291992,0.0971680,-0.1219512,-0.7926829,0.1829268,
161,-0.0320436,26919,108064,113589,0.3730469,-0.9365234,0.0986328,-0.3658537,-0.6707317,0.1829268,
161,-0.0045777,26915,108080,113600,0.3774414,-0.9379883,0.0991211,-0.5487805,-0.6097561,0.2439024,
161,0.0324251,26943,108103,113610,0.3764648,-0.9375000,0.0971680,-0.6707317,-0.5487805,0.3658537,
161,0.0541689,26928,108110,113617,0.3764648,-0.9345703,0.0961914,-0.6707317,-0.4878049,0.6097561,
162,0.0499727,26949,108118,113629,0.3774414,-0.9340820,0.0961914,-0.6097561,-0.4268293,0.7926829,
162,0.0335695,26952,108127,113632,0.3808594,-0.9355469,0.0937500,-0.4268293,-0.3658537,0.9756098,
162,0.0205994,26955,108142,113641,0.3852539,-0.9316406,0.0981445,-0.1829268,-0.4268293,1.1585366,
162,0.0144959,26965,108148,113653,0.3867188,-0.9331055,0.0947266,0.0609756,-0.5487805,1.2804878,
162,0.0076294,26980,108163,113649,0.3833008,-0.9355469,0.0917969,0.4268293,-0.6707317,1.3414634,
162,0.0007629,26979,108154,113653,0.3793945,-0.9370117,0.0947266,0.8536585,-0.8536585,1.4024390,
162,-0.0045777,26961,108180,113669,0.3789063,-0.9370117,0.0903320,1.2195122,-0.9756098,1.3414634,
163,-0.0099183,26999,108182,113671,0.3798828,-0.9311523,0.0917969,1.5243902,-1.0975610,1.1585366,
163,-0.0152588,27008,108191,113680,0.3818359,-0.9296875,0.0947266,1.7682927,-1.0975610,0.9146341,
163,-0.0194550,27021,108208,113694,0.3867188,-0.9272461,0.0961914,1.7682927,-1.0365854,0.7317073,
163,-0.0190736,27015,108233,113721,0.3872070,-0.9189453,0.0971680,1.6463415,-0.8536585,0.5487805,
163,-0.0175477,27034,108247,113711,0.3852539,-0.9189453,0.0927734,1.4024390,-0.5487805,0.4878049,
163,-0.0167847,27038,108258,113725,0.3784180,-0.9194336,0.0952148,1.0365854,-0.3658537,0.6097561,
163,-0.0205994,27046,108278,113746,0.3701172,-0.9150391,0.0937500,0.7317073,-0.1829268,0.7926829,
164,-0.0274659,27044,108281,113765,0.3642578,-0.9169922,0.0922852,0.3658537,-0.0609756,0.9146341,
164,-0.0339509,27056,108304,113765,0.3701172,-0.9179688,0.0932617,0.1219512,0.0000000,0.9146341,
164,-0.0400545,27077,108326,113783,0.3720703,-0.9272461,0.0883789,-0.1219512,-0.0609756,0.7926829,
164,-0.0465395,27087,108339,113805,0.3750000,-0.9296875,0.0859375,-0.3658537,-0.1219512,0.5487805,
164,-0.0514986,27071,108358,113814,0.3784180,-0.9272461,0.0849609,-0.5487805,-0.3048780,0.3048780,
