Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
215,-0.0537874,29421,113029,117484,-0.0156250,-0.9926758,0.0327148,10.4268293,3.9634146,-1.6463415,
216,-0.1941688,29392,113135,117560,-0.0205078,-0.9902344,0.0195313,11.7682927,2.9878049,-1.0975610,
216,-0.2021797,29487,113250,117678,-0.0166016,-0.9960938,0.0048828,12.2560976,1.5853659,-0.4878049,
216,0.1312261,29528,113461,117846,-0.0092773,-0.9921875,0.0043945,12.6219512,0.0000000,0.1219512,
216,0.5935692,29590,113717,118036,-0.0102539,-0.9858398,0.0156250,13.4146341,-1.2804878,0.3658537,
216,0.7236508,29674,114041,118300,-0.0151367,-0.9916992,0.0258789,14.8170732,-2.1951220,0.2439024,
216,0.3871932,29753,114346,118538,-0.0249023,-1.0053711,0.0512695,16.8292683,-2.6829268,-0.0609756,
216,-0.0644686,29838,114614,118723,-0.0371094,-1.0053711,0.0908203,19.0853659,-3.0487805,-0.3048780,
217,-0.2468119,29897,114769,118910,-0.0278320,-1.0175781,0.0898438,20.8536585,-3.5975610,-0.1829268,
217,-0.1811988,29937,114854,118902,-0.0205078,-1.0156250,0.0976563,20.9146341,-4.0243902,0.0000000,
217,-0.1213078,29932,114843,118873,-0.0102539,-1.0048828,0.0820313,18.5975610,-4.1463415,-0.2439024,
217,-0.1434332,29927,114785,118803,-0.0039063,-1.0000000,0.0615234,14.2073171,-3.5975610,-1.0365854,
217,-0.1537329,29915,114680,118721,-0.0034180,-0.9887695,0.0541992,8.6585366,-2.1951220,-2.0731707,
217,-0.1403814,29897,114555,118619,-0.0034180,-0.9873047,0.0400391,3.2317073,-0.1829268,-3.1707317,
217,-0.1350408,29865,114429,118562,-0.0058594,-0.9877930,0.0380859,-1.0365854,1.8292683,-4.0243902,
218,-0.1319890,29845,114335,118445,-0.0083008,-0.9980469,0.0283203,-3.5365854,3.5365854,-4.4512195,
218,-0.1297002,29810,114238,118348,-0.0161133,-1.0000000,0.0380859,-4.0853659,4.6951220,-4.5121951,
218,-0.1308446,29791,114142,118272,-0.0214844,-1.0073242,0.0361328,-3.0487805,5.2439024,-4.3902439,
218,-0.1289373,29741,114046,118208,-0.0224609,-1.0146484,0.0385742,-1.5853659,5.3048780,-4.2073171,
218,-0.1270299,29734,113975,118127,-0.0273438,-1.0141602,0.0502930,0.9146341,5.1219512,-4.0243902,
218,-0.1232152,29716,113866,118048,-0.0297852,-1.0131836,0.0581055,3.1707317,4.8780488,-3.8414634,
218,-0.1213078,29702,113778,117969,-0.0258789,-1.0146484,0.0605469,4.7560976,4.6341463,-3.7195122,
219,-0.1186375,29667,113668,117884,-0.0244141,-1.0146484,0.0610352,5.3048780,4.6341463,-3.5975610,
219,-0.1182561,29614,113549,117796,-0.0253906,-1.0097656,0.0512695,5.1219512,4.8780488,-3.4146341,
219,-0.1152043,29603,113426,117705,-0.0288086,-1.0068359,0.0507813,4.3902439,5.3658537,-2.8658537,
219,-0.1117711,29554,113296,117601,-0.0288086,-1.0034180,0.0458984,3.4756098,6.0975610,-2.0121951,
219,-0.1113896,29519,113175,117513,-0.0312500,-1.0048828,0.0419922,2.6219512,6.9512195,-0.8536585,
219,-0.1132969,29485,113078,117430,-0.0336914,-1.0068359,0.0429688,2.1341463,7.9268293,0.2439024,
219,-0.1152043,29452,112989,117369,-0.0312500,-1.0087891,0.0395508,2.3170732,8.7804878,1.0975610,
220,-0.1144414,29438,112943,117342,-0.0317383,-1.0073242,0.0415039,3.2926829,9.4512195,1.5243902,
220,-0.1125340,29443,112948,117337,-0.0288086,-1.0087891,0.0429688,4.8780488,9.7560976,1.5243902,
220,-0.1136784,29443,112991,117381,-0.0239258,-1.0087891,0.0458984,6.8292683,9.6341463,1.1585366,
220,-0.1144414,29469,113068,117472,-0.0200195,-1.0043945,0.0507813,8.7195122,9.1463415,0.5487805,
220,-0.1098637,29464,113173,117552,-0.0156250,-0.9995117,0.0512695,9.7560976,8.5365854,0.0000000,
220,-0.1033787,29503,113293,117639,-0.0117188,-0.9936523,0.0532227,10.8536585,7.3170732,-1.0365854,
